,headline,url,publisher,date,stock
2,Agilent Technologies Announces Pricing of $5…… Million of Senior Notes,http://www.gurufocus.com/news/1153187/agilent-technologies-announces-pricing-of-500-million-of-senior-notes,GuruFocus,2020-06-01 00:00:00,A
3,Agilent (A) Gears Up for Q2 Earnings: What's in the Cards?,http://www.zacks.com/stock/news/931205/agilent-a-gears-up-for-q2-earnings-whats-in-the-cards?cid=CS-BENZ-FT-analyst_blog|earnings_preview-931205,Zacks,2020-05-18 00:00:00,A
4,J.P. Morgan Asset Management Announces Liquidation of Six Exchange-Traded Funds,http://www.gurufocus.com/news/1138923/jp-morgan-asset-management-announces-liquidation-of-six-exchangetraded-funds,GuruFocus,2020-05-15 00:00:00,A
5,"Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, The Howard Hughes Corp, ...",http://www.gurufocus.com/news/1138704/pershing-square-capital-management-lp-buys-agilent-technologies-inc-the-howard-hughes-corp-lowes-inc-sells-chipotle-mexican-grill-inc,GuruFocus,2020-05-15 00:00:00,A
6,Agilent Awards Trilogy Sciences with a Golden Ticket at LabCentral,http://www.gurufocus.com/news/1134012/agilent-awards-trilogy-sciences-with-a-golden-ticket-at-labcentral,GuruFocus,2020-05-12 00:00:00,A
7,Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $–.4 million of Shares,http://www.gurufocus.com/news/1132985/agilent-technologies-inc-a-ceo-and-president-michael-r-mcmullen-sold-14-million-of-shares,GuruFocus,2020-05-11 00:00:00,A
8,' Stocks Growing Their Earnings Fast,http://www.gurufocus.com/news/1129235/3-stocks-growing-their-earnings-fast,GuruFocus,2020-05-07 00:00:00,A
9,"Cypress Asset Management Inc Buys Verizon Communications Inc, United Parcel Service Inc, ...",http://www.gurufocus.com/news/1128926/cypress-asset-management-inc-buys-verizon-communications-inc-united-parcel-service-inc-powershares-qqq-trust-ser-1-sells-the-walt-disney-co-honeywell-international-inc-eaton-corp-plc,GuruFocus,2020-05-07 00:00:00,A
10,"Hendley & Co Inc Buys American Electric Power Co Inc, Agilent Technologies Inc, Paychex ...",http://www.gurufocus.com/news/1126951/hendley--co-inc-buys-american-electric-power-co-inc-agilent-technologies-inc-paychex-inc-sells-honeywell-international-inc-texas-instruments-inc-dollar-general-corp,GuruFocus,2020-05-05 00:00:00,A
11,"Teacher Retirement System Of Texas Buys Hologic Inc, Vanguard Total Stock Market, Agilent ...",http://www.gurufocus.com/news/1126799/teacher-retirement-system-of-texas-buys-hologic-inc-vanguard-total-stock-market-agilent-technologies-inc-sells-alphabet-inc-att-inc-ishares-edge-msci-min-vol-emerging-markets,GuruFocus,2020-05-05 00:00:00,A
12,"Cookson Peirce & Co Inc Buys Eli Lilly and Co, Vertex Pharmaceuticals Inc, Netflix Inc, ...",http://www.gurufocus.com/news/1125063/cookson-peirce--co-inc-buys-eli-lilly-and-co-vertex-pharmaceuticals-inc-netflix-inc-sells-hilton-worldwide-holdings-inc-transdigm-group-inc-abbott-laboratories,GuruFocus,2020-05-04 00:00:00,A
13,Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $–.– million of Shares,http://www.gurufocus.com/news/1121894/agilent-technologies-inc-a-ceo-and-president-michael-r-mcmullen-sold-11-million-of-shares,GuruFocus,2020-04-30 00:00:00,A
14,"Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $67–,6—7 of Shares",http://www.gurufocus.com/news/1119439/agilent-technologies-inc-a-ceo-and-president-michael-r-mcmullen-sold-671627-of-shares,GuruFocus,2020-04-28 00:00:00,A
15,"S.E.E.D. Planning Group LLC Buys VanEck Vectors Morningstar Wide Moat, PepsiCo Inc, Ecolab Inc, ...",http://www.gurufocus.com/news/1108126/seed-planning-group-llc-buys-vaneck-vectors-morningstar-wide-moat-pepsico-inc-ecolab-inc-sells-schwab-us-largecap-invesco-bulletshares-2020-corporate-bond-etf-international-flavors--fragrances-inc,GuruFocus,2020-04-17 00:00:00,A
16,Agilent (A) Withdraws Q2 & FY20 View Amid Coronavirus Crisis,http://www.zacks.com/stock/news/872005/agilent-a-withdraws-q2-fy20-view-amid-coronavirus-crisis?cid=CS-BENZ-FT-analyst_blog|company_news_tech_sector-872005,Zacks,2020-04-15 00:00:00,A
17,Top –st-Quarter Buys of Jerome Dodson's Parnassus Fund,http://www.gurufocus.com/news/1104590/top-1stquarter-buys-of-jerome-dodsons-parnassus-fund,GuruFocus,2020-04-14 00:00:00,A
18,Bill Ackman on Agilent Technologies,http://www.gurufocus.com/news/1104359/bill-ackman-on-agilent-technologies,GuruFocus,2020-04-14 00:00:00,A
19,Bill Ackman's Pershing Square —…–9 Annual Letter to Shareholders,http://www.gurufocus.com/news/1104358/bill-ackmans-pershing-square-2019-annual-letter-to-shareholders,GuruFocus,2020-04-14 00:00:00,A
20,Parnassus Endeavor Fund Adds ' Stocks to Portfolio in –st Quarter,http://www.gurufocus.com/news/1103295/parnassus-endeavor-fund-adds-3-stocks-to-portfolio-in-1st-quarter,GuruFocus,2020-04-13 00:00:00,A
21,"Parnassus Endeavor Fund Buys FedEx Corp, VF Corp, Expeditors International of Washington Inc, ...",http://www.gurufocus.com/news/1101813/parnassus-endeavor-fund-buys-fedex-corp-vf-corp-expeditors-international-of-washington-inc-sells-gilead-sciences-inc-lam-research-corp-perrigo-co-plc,GuruFocus,2020-04-10 00:00:00,A
22,"Parnassus Fund Buys KLA Corp, Agilent Technologies Inc, Square Inc, Sells Alliance Data Systems ...",http://www.gurufocus.com/news/1101812/parnassus-fund-buys-kla-corp-agilent-technologies-inc-square-inc-sells-alliance-data-systems-corp-cvs-health-corp-hologic-inc,GuruFocus,2020-04-10 00:00:00,A
23,"Lgt Capital Partners Ltd. Buys Microsoft Corp, Stryker Corp, The Estee Lauder Inc, Sells ...",http://www.gurufocus.com/news/1098172/lgt-capital-partners-ltd-buys-microsoft-corp-stryker-corp-the-estee-lauder-inc-sells-newmont-corp-tupperware-brands-corp-the-carlyle-group-inc,GuruFocus,2020-04-07 00:00:00,A
24,"Timing the Market, Is it Possible? - April 07, 2020",http://www.zacks.com/stock/news/858761/timing-the-market-is-it-possible-april-07-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-858761,Zacks,2020-04-07 00:00:00,A
25,Agilent Technologies to Change Location of Annual Meeting,http://www.gurufocus.com/news/1090024/agilent-technologies-to-change-location-of-annual-meeting-,GuruFocus,2020-03-30 00:00:00,A
26,Bill Ackman's Pershing Square Releases Letter to Investors,http://www.gurufocus.com/news/1086307/bill-ackmans-pershing-square-releases-letter-to-investors,GuruFocus,2020-03-26 00:00:00,A
27,Agilent Technologies (A) Gains As Market Dips: What You Should Know,http://www.zacks.com/stock/news/826049/agilent-technologies-a-gains-as-market-dips-what-you-should-know?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_6v1-826049,Zacks,2020-03-20 00:00:00,A
28,Stocks Flashing Renewed Technical Strength: Agilent Technologies,http://www.investors.com/ibd-data-stories/stocks-flashing-renewed-technical-strength-agilent-technologies/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2020-03-19 00:00:00,A
29,Why Is Agilent (A) Down 19.3% Since Last Earnings Report?,http://www.zacks.com/stock/news/823272/why-is-agilent-a-down-193-since-last-earnings-report?cid=CS-BENZ-FT-realtime_blog-823272,Zacks,2020-03-19 00:00:00,A
30,Agilent Technologies Announces Cash Dividend of –8 Cents Per Share,http://www.gurufocus.com/news/1078836/agilent-technologies-announces-cash-dividend-of-18-cents-per-share,GuruFocus,2020-03-18 00:00:00,A
31,"Agilent Technologies to Adjourn Annual Meeting Until April –7, —…—…",http://www.gurufocus.com/news/1077054/agilent-technologies-to-adjourn-annual-meeting-until-april-17-2020,GuruFocus,2020-03-17 00:00:00,A
32,Agilent Introduces CrossLab Connect Services for Lab-wide Asset Monitoring,http://www.gurufocus.com/news/1074589/agilent-introduces-crosslab-connect-services-for-labwide-asset-monitoring-,GuruFocus,2020-03-16 00:00:00,A
33,6 Guru Stocks Trading With Low Price-Sales Ratios,http://www.gurufocus.com/news/1064215/6-guru-stocks-trading-with-low-pricesales-ratios,GuruFocus,2020-03-03 00:00:00,A
34,Stock Upgrades: Agilent Technologies Shows Rising Relative Strength,http://www.investors.com/ibd-data-stories/stock-upgrades-agilent-technologies-shows-rising-relative-strength-5/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2020-02-28 00:00:00,A
35,"Fitbit (FIT) Q4 Loss Wider Than Estimated, Revenues Lag",http://www.zacks.com/stock/news/777147/fitbit-fit-q4-loss-wider-than-estimated-revenues-lag?cid=CS-BENZ-FT-analyst_blog|earnings_article-777147,Zacks,2020-02-21 00:00:00,A
